date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:35:56	282104/282104	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jan%202026%2003:30:28%20GMT	https://staticdevelopers.com/static-fivepd-2/	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/static-fivepd-2/index.html	(from )
00:35:56	178/178	---MC-	200	added ('OK')	text/plain	date:Fri,%2006%20Feb%202026%2006:35:56%20GMT	https://staticdevelopers.com/robots.txt		(from )
00:35:57	15820/15820	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Aug%202025%2006:41:16%20GMT	https://staticdevelopers.com/wp-content/plugins/paid-memberships-pro/css/frontend/base.css?ver=3.5.3	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-content/plugins/paid-memberships-pro/css/frontend/base1aae.css	(from https://staticdevelopers.com/static-fivepd-2/)
00:35:57	25115/25115	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Aug%202025%2006:41:16%20GMT	https://staticdevelopers.com/wp-content/plugins/paid-memberships-pro/css/frontend/variation_1.css?ver=3.5.3	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-content/plugins/paid-memberships-pro/css/frontend/variation_11aae.css	(from https://staticdevelopers.com/static-fivepd-2/)
00:35:58	4256/4256	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Jun%202025%2021:55:49%20GMT	http://staticdevelopers.com/wp-content/plugins/revslider/public/css/sr7.css?ver=6.7.34	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-content/plugins/revslider/public/css/sr7e00b.css	(from https://staticdevelopers.com/static-fivepd-2/)
00:35:59	8542/8542	---M--	200	added ('OK')	text/css	date:Sat,%2006%20Dec%202025%2010:15:33%20GMT	https://staticdevelopers.com/wp-content/plugins/wp-stats-manager/css/style.css?ver=1.2	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-content/plugins/wp-stats-manager/css/style62ea.css	(from https://staticdevelopers.com/static-fivepd-2/)
00:35:59	9427/9427	---M--	200	added ('OK')	image/gif	date:Fri,%2005%20Dec%202025%2010:03:24%20GMT	https://staticdevelopers.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:00	15270/15270	---M--	200	added ('OK')	text/css	date:Sun,%2004%20Jan%202026%2015:57:44%20GMT	https://staticdevelopers.com/wp-content/et-cache/414/et-divi-dynamic-414.css?ver=1767542264	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-content/et-cache/414/et-divi-dynamic-414bb2d.css	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:00	8657/8657	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Jun%202025%2021:55:50%20GMT	https://staticdevelopers.com/wp-content/plugins/revslider/admin/includes/shortcode_generator/divi/styles/style.min.css?ver=1.0.0	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-content/plugins/revslider/admin/includes/shortcode_generator/divi/styles/style.min8a54.css	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:02	1692/1692	---M--	200	added ('OK')	image/png	etag:%2290a02f8a9121326e%22	https://i0.wp.com/staticdevelopers.com/wp-content/uploads/2025/07/cropped-Untitled-design-5.png?fit=32%2C32&ssl=1	C:/My%20Web%20Sites/bluelineacademy/i0.wp.com/staticdevelopers.com/wp-content/uploads/2025/07/cropped-Untitled-design-5e43b.png	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:03	9519/9519	---M--	200	added ('OK')	image/png	etag:%228ee1341d7ade777b%22	https://i0.wp.com/staticdevelopers.com/wp-content/uploads/2025/07/cropped-Untitled-design-5.png?fit=192%2C192&ssl=1	C:/My%20Web%20Sites/bluelineacademy/i0.wp.com/staticdevelopers.com/wp-content/uploads/2025/07/cropped-Untitled-design-598d8.png	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:04	8672/8672	---M--	200	added ('OK')	image/png	etag:%22cc944403b1a20f60%22	https://i0.wp.com/staticdevelopers.com/wp-content/uploads/2025/07/cropped-Untitled-design-5.png?fit=180%2C180&ssl=1	C:/My%20Web%20Sites/bluelineacademy/i0.wp.com/staticdevelopers.com/wp-content/uploads/2025/07/cropped-Untitled-design-5f9b5.png	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:07	171852/171852	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Feb%202026%2006:36:04%20GMT	https://staticdevelopers.com/static-fivepd-2/revslider/revslider.php	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/static-fivepd-2/revslider/revslider.c.delayed	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:10	171847/171847	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2006%20Feb%202026%2006:36:08%20GMT	https://staticdevelopers.com/static-fivepd-2/${e?.bg?.image.src}	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/static-fivepd-2/${e.d1d2c.delayed	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:31	209124/209124	---M--	200	added ('OK')	text/javascript	date:Fri,%2006%20Jun%202025%2021:55:49%20GMT	http://staticdevelopers.com/wp-content/plugins/revslider/public/js/libs/tptools.js?ver=6.7.34	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-content/plugins/revslider/public/js/libs/tptoolse00b.js	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:32	795/795	---M--	200	added ('OK')	image/png	etag:%222529e03db5eb0a05%22	https://i0.wp.com/staticdevelopers.com/wp-content/uploads/2024/05/ai_generator10_icon_white_padding.png?resize=64%2C64&ssl=1	C:/My%20Web%20Sites/bluelineacademy/i0.wp.com/staticdevelopers.com/wp-content/uploads/2024/05/ai_generator10_icon_white_padding5cfe.png	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:45	236237/236237	---M--	200	added ('OK')	image/png	etag:%22bfb61cad38f9093f%22	https://i0.wp.com/staticdevelopers.com/wp-content/uploads/2024/12/Screenshot_45.png?w=1080&ssl=1	C:/My%20Web%20Sites/bluelineacademy/i0.wp.com/staticdevelopers.com/wp-content/uploads/2024/12/Screenshot_4529f1.png	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:46	338381/338381	---M--	200	added ('OK')	text/javascript	date:Fri,%2006%20Jun%202025%2021:55:49%20GMT	http://staticdevelopers.com/wp-content/plugins/revslider/public/js/sr7.js?ver=6.7.34	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-content/plugins/revslider/public/js/sr7e00b.js	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:46	410/410	---M--	200	added ('OK')	image/png	etag:%22054fec82a7381b06%22	https://i0.wp.com/staticdevelopers.com/wp-content/uploads/2024/05/ai_generator04_icon_white_padding.png?resize=64%2C64&ssl=1	C:/My%20Web%20Sites/bluelineacademy/i0.wp.com/staticdevelopers.com/wp-content/uploads/2024/05/ai_generator04_icon_white_padding5cfe.png	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:46	542/542	---M--	200	added ('OK')	image/png	etag:%22104ca8e7fdc7777d%22	https://i0.wp.com/staticdevelopers.com/wp-content/uploads/2024/05/ai_generator09_icon_white_padding.png?resize=64%2C64&ssl=1	C:/My%20Web%20Sites/bluelineacademy/i0.wp.com/staticdevelopers.com/wp-content/uploads/2024/05/ai_generator09_icon_white_padding5cfe.png	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:46	1649565/1649565	---M--	200	added ('OK')	image/png	date:Wed,%2006%20Dec%202023%2014:30:17%20GMT	https://staticdevelopers.com/wp-content/uploads/2023/12/Untitled-design-14.png	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-content/uploads/2023/12/Untitled-design-14.png	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:47	87553/87553	---M--	200	added ('OK')	text/javascript	date:Tue,%2029%20Aug%202023%2003:44:24%20GMT	https://staticdevelopers.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:47	13577/13577	---M--	200	added ('OK')	text/javascript	date:Fri,%2009%20Jun%202023%2016:19:24%20GMT	https://staticdevelopers.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://staticdevelopers.com/static-fivepd-2/)
00:36:48	3303/3303	---M--	200	added ('OK')	text/javascript	date:Mon,%2006%20May%202024%2021:55:43%20GMT	https://staticdevelopers.com/wp-content/plugins/creative-mail-by-constant-contact/assets/js/block/submit.js?ver=1715032543	C:/My%20Web%20Sites/bluelineacademy/staticdevelopers.com/wp-content/plugins/creative-mail-by-constant-contact/assets/js/block/submit44bd.js	(from https://staticdevelopers.com/static-fivepd-2/)
